recipe_id,ingredient_id,ingredient_index,qty_value,unit,portion_factor,ingredient_line_raw,parse_status,review_reason
269,412,9,0.5,Teaspoon,1.0,1/2 Teaspoon Paprika,ok,
269,400,10,0.5,Teaspoon,1.0,1/2 Teaspoon Onion Powder,ok,
269,238,11,1.0,Teaspoon,1.0,1 Teaspoon flavored Salt,ok,
269,63,12,0.25,Teaspoon,1.0,1/4 Teaspoon Black Pepper,ok,
269,587,13,0.5,Teaspooon,1.0,1/2 Teaspooon Chili powder/Curry (optional),ok,
270,319,1,,,1.0,600g Dry Kabulangeti Beans,ok,
270,597,2,1.0,Tomato,1.0,"1 Tomato, chopped",ok,
270,399,3,1.0,Onion,1.0,"1 Onion, chopped",ok,
270,275,4,1.0,Green,1.0,"1 Green/Yellow Pepper, chopped",ok,
270,251,5,3.0,Cloves,1.0,3 Cloves Garlic,ok,
270,615,6,4.0,Tablespoons,1.0,4 Tablespoons Vegetable oil,ok,
270,598,7,1.0,Tablespoon,1.0,1 Tablespoon Tomato paste,ok,
270,528,8,,,1.0,"Salt and Pepper, to taste",review,mixed_seasoning;contains_conjunction
271,321,1,,,1.0,300g Kalembula (Sweet Potato leaves),ok,
271,597,2,1.0,Medium,1.0,1 Medium Tomato,ok,
271,399,3,1.0,Medium,1.0,1 Medium Onion,ok,
271,522,4,0.5,Teaspoon,1.0,1/2 Teaspoon Salt,ok,
271,615,5,3.0,Tablespoons,1.0,3 Tablespoons Vegetable oil,ok,
272,347,1,,,1.0,800g Lumanda leaves,ok,
272,459,2,1.5,cup,1.0,1 1/2 cup pounded Groundnuts,ok,
272,399,3,1.0,Onion,1.0,1 Onion,ok,
272,597,4,1.0,Tomato,1.0,1 Tomato,ok,
272,557,5,2.5,Teaspoons,1.0,2 1/2 Teaspoons Soda,ok,
272,522,6,0.75,Teaspoon,1.0,3/4 Teaspoon Salt,ok,
272,625,7,300.0,ml,1.0,300 ml Water,ok,
273,653,1,,,1.0,500g Yellow Lusaka Beans,ok,
273,251,2,3.0,Cloves,1.0,3 Cloves of Garlic,ok,
273,497,3,1.0,Red,1.0,1 Red Onion,ok,
273,272,4,3.0,Green,1.0,3 Green Onions,ok,
273,513,5,1.0,ripe,1.0,"1 ripe Tomato, grated.",ok,
273,273,6,1.0,Green,1.0,1 Green Pepper,ok,
273,397,7,2.0,Tablespoons,1.0,2 Tablespoons Olive Oil,ok,
273,250,8,1.5,Teaspoons,1.0,1 1/2 Teaspoons Garam Masala,ok,
273,601,9,1.0,Teaspoon,1.0,1 Teaspoon Tumeric Powder,ok,
273,198,10,1.0,Teaspoon,1.0,1 Teaspoon Cumin powder,ok,
273,260,11,1.0,Teaspoon,1.0,1 Teaspoon fresh Ginger,ok,
273,411,12,1.0,Teaspoon,1.0,1 Teaspoon smoked Paprika,ok,
273,522,13,1.0,Teaspoons,1.0,1 Teaspoons Salt,ok,
273,598,14,2.0,Teaspoons,1.0,2 Teaspoons Tomato paste,ok,
273,179,15,,,1.0,Fresh Coriander,ok,
273,495,16,3.0,Red,1.0,3 Red Chilies (optional),ok,
274,357,1,3.0,cups,1.0,3 cups of Mealie Meal/ White Cornmeal,ok,
274,341,2,1.0,Litre,1.0,1 Litre Boiling water,ok,
274,173,3,1.5,cups,1.0,1 1/2 cups Cold Water,ok,
275,393,1,,,1.0,500g Okra,ok,
