fdc_id,g_per_ml,source_portion
2705739,0.4708,"1 cup, NFS"
2705740,1.025,1 cup
2705741,1.0167,"1 cup, melted"
2705742,0.4708,"1 cup, shredded"
2705743,0.55,"1 cup, crumbled"
2705744,0.4708,"1 cup, NFS"
2705745,0.5625,1 cup
2705746,0.4167,1 cup
2705747,0.875,1 cup
2705748,0.875,1 cup
2705749,0.875,1 cup
2705750,1.025,1 cup
2705751,0.9417,1 cup
2705752,0.9417,1 cup
2705753,0.875,"1 cup, NFS"
2705754,0.875,"1 cup, NFS"
2705755,0.5333,1 cup
2705756,0.9417,1 cup
2705757,0.9417,1 cup
2705758,0.9417,1 cup
2705759,0.9458,1 cup
2705760,1.0,1 cup
2705761,1.0,1 cup
2705762,1.0,1 cup
2705763,1.0679,1 cubic inch
2705764,0.4708,"1 cup, NFS"
2705765,0.4708,"1 cup, NFS"
2705766,0.4708,"1 cup, NFS"
2705767,0.4708,"1 cup, NFS"
2705768,0.4708,"1 cup, NFS"
2705769,1.0,1 cup
2705771,0.4708,"1 cup, NFS"
2705772,0.4708,"1 cup, NFS"
2705773,1.0167,1 cup
2705774,1.0167,1 cup
2705775,1.0,1 cup
2705776,0.9375,1 cup
2705777,0.4708,"1 cup, NFS"
2705778,1.0,1 cup
2705779,1.0,1 cup
2705780,1.0,1 cup
2705781,1.0,1 tablespoon
2705782,1.0,1 tablespoon
2705783,1.0,1 tablespoon
2705784,1.0,1 tablespoon
2705785,1.0,1 tablespoon
2705786,1.0,1 tablespoon
2705787,0.8958,1 cup
2705788,0.7,1 cup
2705789,0.7,1 cup
2705790,0.7,1 cup
2705791,0.8667,1 tablespoon
2705792,0.3958,1 cup
2705793,1.0,1 tablespoon
2705808,1.0667,1 tablespoon
2705809,1.0833,1 cup
2705810,1.0833,1 cup
2705811,1.0833,1 cup
2705812,1.0833,1 cup
2705813,1.0833,1 cup
2705814,1.0833,1 cup
2705815,1.0833,1 cup
2705816,1.0833,1 cup
2705817,0.4792,1 cup
2705818,0.6667,1 cup
2705819,0.5625,1 cup
2705820,0.5208,1 cup
2705821,1.0,1 tablespoon
2705822,0.5625,1 cup
2705823,0.5625,1 cup
2705824,0.5625,1 cup
2705825,0.5625,1 cup
2705826,0.5625,1 cup
2705827,0.5625,1 cup
2705828,0.5625,1 cup
2705829,0.5625,1 cup
2705830,0.5625,1 cup
2705831,0.5625,1 cup
2705832,0.5625,1 cup
2705833,0.5625,1 cup
2705834,0.5625,1 cup
2705835,0.5625,1 cup
2705836,0.5625,1 cup
2705837,0.5625,1 cup
2705838,0.5625,1 cup
2705839,0.5625,1 cup
2705840,0.5625,1 cup
2705841,0.5625,1 cup
2705842,0.5625,1 cup
2705843,0.5625,1 cup
2705844,0.2292,1 cup
2705845,0.5625,1 cup
2705846,0.5625,1 cup
2705847,0.5625,1 cup
2705848,0.5625,1 cup
2705849,0.5625,1 cup
2705850,0.5625,1 cup
2705851,0.5625,1 cup
2705852,0.4583,1 cup
2705853,0.9375,1 cup
2705854,0.5208,1 cup
2705855,0.5208,1 cup
2705856,0.35,"1 cup, pieces"
2705857,0.35,"1 cup, pieces"
2705858,0.5042,1 cup
2705859,0.5333,"1 cup, diced"
2705860,0.375,"1 cup, pieces"
2705861,1.0,1 tablespoon
2705862,0.5625,1 cup
2705863,0.5208,1 cup
2705864,0.5625,1 cup
2705865,0.525,"1 cup, pieces"
2705866,0.5625,1 cup
2705867,0.5625,1 cup
2705868,0.5625,1 cup
