recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
28,621,3,1,960 ml,4 cups
28,118,4,1,,
28,404,5,1,110 g,? cup
29,145,1,1,1.1 kg,
29,526,2,1,,
29,99,3,1,42 g,3 tablespoon
29,399,4,1,,2 medium
29,109,5,1,60 ml,? cup
29,251,6,1,9 g,1 tablespoon
29,260,7,1,,1 teaspoon
29,412,8,1,4 g,? tablespoon
29,53,9,1,16 g,2 tablespoon
29,625,10,1,720 g,3 cups
29,598,11,1,10 g,1 tablespoon
29,559,12,1,,6 large
29,510,13,1,,
30,182,1,1,,1 teaspoon
30,119,2,1,,1 teaspoon
30,225,3,1,,1 teaspoon
30,411,4,1,24 g,3 tablespoon
30,127,5,1,8 g,1 tablespoon
30,197,6,1,6 g,2 teaspoon
30,604,7,1,,1 teaspoon
30,65,8,1,,1 teaspoon
30,16,10,1,,? teaspoon
30,261,11,1,,? teaspoon
30,160,12,1,,? teaspoon
30,522,13,1,,1 teaspoon
30,397,14,1,30 ml,2 tablespoon
30,399,15,1,,1 large
30,53,16,1,24 g,3 tablespoon
30,597,17,1,,4 large
30,598,18,1,10 g,1 tablespoon
30,260,19,1,,? teaspoon
30,202,20,1,,1 teaspoon
30,496,22,1,302 g,
30,166,23,1,480 ml,2 cups
30,525,24,1,,
30,24,25,1,,
31,11,1,1,500 g,4 cups
31,522,2,1,,1 teaspoon
31,616,3,1,60 ml,4 tablespoon
31,621,4,1,360 ml,
31,39,5,1,450 g,
31,420,6,1,150 g,1 cup
31,638,7,1,,1 small
31,251,8,1,,5 cloves
31,260,9,1,6 g,2 teaspoon
31,309,10,1,,1 medium
31,604,11,1,,1 teaspoon
31,197,12,1,,1 teaspoon
31,180,13,1,,1 teaspoon
31,116,14,1,,? teaspoon
31,160,15,1,,? teaspoon
31,526,16,1,,
31,616,17,1,,
32,137,1,1,900 g,
32,317,2,1,,
32,251,3,1,,1 teaspoon
32,591,4,1,,1 teaspoon
32,63,5,1,,1 teaspoon
32,411,6,1,4 g,2 teaspoon
32,523,7,1,10 g,2 teaspoon
32,133,8,1,,
32,109,9,1,60 ml,? cup
32,409,10,1,60 ml,? cup
32,251,11,1,,4 cloves
32,399,12,1,,2 medium
32,282,13,1,,1 small
32,597,14,1,,2 large
32,134,15,1,480 ml,2 cups
32,639,16,1,,1 teaspoon
32,106,17,1,338 g,
32,625,18,1,120 ml,? cup
32,395,19,1,,
32,508,20,1,,
33,615,1,1,240 ml,1 cup
33,399,2,1,,1 large
33,251,3,1,,4 cloves
33,260,4,1,6 g,2 teaspoon
33,411,5,1,,? teaspoon
33,197,6,1,,1 teaspoon
33,116,7,1,,? teaspoon
33,202,8,1,,? teaspoon
33,597,9,1,,2 medium
33,659,10,1,,4 medium
33,34,11,1,422 g,2 cups
33,134,12,1,960 ml,4 cups
33,162,13,1,2- to 4-inch [6- to 10-cm],
33,570,14,1,,? teaspoon
33,35,15,1,,
33,525,16,1,,
33,320,17,1,,
34,285,1,1,1-lb [450-g],
34,202,2,1,8 g,1 tablespoon
34,523,3,1,,1 teaspoon
34,64,4,1,,1 teaspoon
34,110,5,1,15 ml,1 tablespoon
34,399,6,1,,1 medium
34,51,7,1,any color,2 medium
34,260,8,1,6 g,2 teaspoon
34,251,9,1,,3 cloves
34,597,10,1,,2 large
34,333,11,1,30 ml,2 tablespoon
34,166,12,1,240 ml,1 cup
34,97,13,1,,1 small
34,337,14,1,,
35,615,1,1,30 ml,2 tablespoon
35,399,2,1,,1 large
35,251,3,1,,4 cloves
35,270,4,1,,1 large
35,120,5,1,,2 large
35,597,6,1,,2 large
35,659,7,1,,6 medium
35,269,8,1,,1 large
35,166,9,1,14-oz [420-ml],1 can
35,625,10,1,960 ml,4 cups
35,525,11,1,,
35,25,12,1,,1 large
37,239,1,1,65 g,? cup
37,183,2,1,11 g,1 tablespoon
37,260,3,1,,1 teaspoon
37,197,4,1,6 g,2 teaspoon
37,429,5,1,,1 teaspoon
37,522,6,1,,
37,159,7,1,20 g,? cup
37,625,8,1,80 ml,
37,519,9,1,,2 large
37,616,10,1,,
37,320,11,1,,
38,522,1,1,,1 teaspoon
38,577,2,1,,1 teaspoon
38,616,3,1,30 ml,2 tablespoon
38,622,4,1,360 ml,
38,10,5,1,375 g,3 cups
40,223,1,1,165 g,2 cups
40,333,2,1,120 ml,? cup
40,340,3,1,30 ml,2 tablespoon
40,550,4,1,180 ml,? cup
40,625,5,1,480 ml,2 cups
40,371,6,1,120 ml,? cup
40,369,7,1,,
40,303,8,1,,
41,315,1,1,422 g,2 cups
41,165,2,1,240 ml,1 cup
41,476,3,1,14 g,3 tablespoon
41,522,4,1,,1 teaspoon
41,170,5,1,192 g,1 cup
41,118,6,1,,1 teaspoon
41,389,7,1,,1 teaspoon
41,18,8,1,,? teaspoon
41,1,9,1,,1 teaspoon
41,166,10,1,14-oz [420-ml],1 can
41,611,11,1,,? teaspoon
41,95,12,1,108 g,? cup
42,621,1,1,60 ml,? cup
42,165,2,1,120 ml,? cup
42,577,3,1,144 g,? cup
42,1,4,1,6 g,2 teaspoon
42,209,5,1,,1 large
42,10,6,1,375 g,3 cups
42,522,7,1,,1 teaspoon
42,119,8,1,,1 teaspoon
42,389,9,1,,? teaspoon
42,160,10,1,,? teaspoon
42,169,11,1,19 g,4 tablespoon
42,616,12,1,,
42,576,13,1,,
43,314,1,1,,2 large
43,251,2,1,,5 cloves
43,227,3,1,15-oz [420-g],1 can
43,411,4,1,16 g,2 tablespoon
43,309,5,1,,2 medium
43,280,6,1,,1 small
43,397,7,1,90 ml,6 tablespoon
43,197,8,1,,
43,180,9,1,,
43,501,10,1,,
43,253,11,1,8 g,1 tablespoon
43,412,12,1,8 g,1 tablespoon
43,197,13,1,4 g,? tablespoon
43,160,14,1,,1 teaspoon
43,522,15,1,8 g,
43,63,16,1,,1 teaspoon
43,142,17,1,2.3 kg,
43,288,18,1,300 ml,
44,220,1,1,45 ml,3 tablespoon
44,399,2,1,,1 medium
44,489,3,1,,1 large
44,280,4,1,,1 small
44,251,5,1,,3 cloves
44,411,6,1,12 g,
44,197,7,1,8 g,1 tablespoon
44,599,8,1,28-oz [784-g],1 can
44,526,9,1,,
44,96,10,1,,1 large
44,415,11,1,10 g,3 tablespoon
44,209,12,1,,6 large
44,88,13,1,,
45,39,1,1,450 g,
45,569,2,1,,
45,209,3,1,,1 large
45,197,4,1,,1 teaspoon
45,412,5,1,,1 teaspoon
45,160,6,1,,1 teaspoon
45,116,7,1,,? teaspoon
45,180,8,1,,1 teaspoon
45,522,9,1,,1 teaspoon
45,63,10,1,,? teaspoon
45,398,11,1,,
45,397,12,1,30 ml,2 tablespoon
45,251,13,1,,1 clove
45,399,14,1,,1 large
45,263,15,1,6 g,2 teaspoon
45,162,17,1,2- to 4-inch [6- to 10-cm],
45,95,18,1,,1 teaspoon
45,597,19,1,14-oz [392-g],1 can
45,201,20,1,19 g,2 tablespoon
45,134,21,1,240 ml,1 cup
45,526,22,1,,
46,116,1,1,,1 teaspoon
46,197,2,1,,1 teaspoon
46,261,3,1,,? teaspoon
46,160,4,1,,? teaspoon
46,63,5,1,,? teaspoon
46,522,6,1,,1 teaspoon
46,398,7,1,,
46,329,8,1,900 g,
